Hello,Hello World!
Hello,Hello World!
where do you work ,Amdocs
who are you ,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hello World!
Hi,Hello World!
Who are you?,I am a Python powered ChatBot.
Okay,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Okay'>Okay</a>
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
hello,Hello World!
what?,Hello World!
hi ,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
hi,Hello World!
Hello,Hello World!
what is time,"Today is Wednesday, 11/20/2019"
time,I could not tell you.
do yo uhave time,The time is now 11:40 AM EST
linux,Is there a different way you can ask that?
yup,Is there a different way you can ask that?
Hello,Hello World!
hello,Hello World!
find server indlin224,I don't really know what you are asking.
Hello,Hello World!
hi ,Hello World!
whatsapp,Hello World!
Hello,Hello World!
hey hi ,Hello World!
how are you ,I am a Chatbot.
Hello,Hello World!
os version,Is there a different way you can ask that?
OS version,I don't really know what you are asking.
Hello,Hello World!
OS version,I don't have a response for that.
what is os version,I'll need to take some time to think on that.
Hello,Hello World!
OS version,I don't really know what you are asking.
Hello,Hello World!
OS,I'm not sure about that.
Hello,Hello World!
Hello,Hello World!
where do you work,Amdocs
What time is it?,The time is now 6:43 PM EST
What day is it?,"Today is Tuesday, 11/26/2019"
Hello,Hello World!
OS,I will have to give that some thought.
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
OS version,
Hello,Hello World!
list filesystem,
Hello,Hello World!
time,I don't have a response for that.
what is time,"Today is Wednesday, 11/27/2019"
Hello,Hello World!
list filesystem,
Hello,Hello World!
OS version,
Hello,Hello World!
What day is it?,"Today is Wednesday, 11/27/2019"
Hello,Hello World!
get time,
Hello,Hello World!
how are you ,I am a Python powered ChatBot.
what is time ,"Today is Wednesday, 11/27/2019"
what date,"Today is Wednesday, 11/27/2019"
OS version,
Hello,Hello World!
Hello,Hello World!
OS,I don't have a response for that.
which OS,Is there a different way you can ask that?
OS version,0
Hello,Hello World!
list filesystem,0
Hello,Hello World!
list filesystem,0
Hello,Hello World!
what is os version,0
Hello,Hello World!
list filesystem,0
Hello,Hello World!
Hello,Hello World!
list filesystem,0
Hello,Hello World!
Hello,Hello World!
list filesystem,0
Hello,Hello World!
Hello,Hello World!
what is os version,0
Hello,Hello World!
OS version,0
Hello,Hello World!
Hello,Hello World!
OS version,0
Hello,Hello World!
Hello,Hello World!
which OS,I could not tell you.
OS,I'm not sure about that.
OS version,0
Hello,Hello World!
OS version,0
Hello,Hello World!
OS version,0
Hello,Hello World!
what is time ,"Today is Monday, 12/2/2019"
OS version,0
Hello,Hello World!
OS version,0
Hello,Hello World!
what is date,"Today is Monday, 12/2/2019"
OS version,
Hello,Hello World!
Hello,Hello World!
OS version,
Hello,Hello World!
OS version,
Hello,Hello World!
what is time,"Today is Tuesday, 12/3/2019"
OS version,
Hello,Hello World!
OS version,
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
what is time,"Today is Tuesday, 12/3/2019"
which OS,I don't know.
OS version,
Hello,Hello World!
OS version,
Hello,Hello World!
OS version,
Hello,Hello World!
chat.py,I'm not an expert on that.
OS version,
Hello,Hello World!
OS version,
Hello,Hello World!
what is time,"Today is Tuesday, 12/3/2019"
what is time,"Today is Tuesday, 12/3/2019"
what is time,"Today is Tuesday, 12/3/2019"
Hello,Hello World!
what is time,"Today is Tuesday, 12/3/2019"
what is time,"Today is Tuesday, 12/3/2019"
When is it?,382bc40803d0
what is os version,getos
OS version,getos
which is os is running on server,getos
OS version,getos
When is it?,382bc40803d0
When is it?,382bc40803d0
OS version,getos
OS version,382bc40803d0
Hello,Hello World!
OS ,I'm not an expert on that.
OS version,indlin2892
Hello,Hello World!
OS version,
Hello,Hello World!
vi chat.py,I'm not an expert on that.
"""OS version",
Hello,Hello World!
OS version,
Hello,Hello World!
OS version,indlin2892
Hello,Hello World!
OS version,<subprocess.Popen object at 0x7ff09834e198>
Hello,Hello World!
OS version,getos
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
cpu,0.04
hostname,indlin2892
disk usage,"Filesystem                 Size  Used Avail Use% Mounted on
/dev/mapper/vg00-root      5.9G 1014M  4.7G  18% /
devtmpfs                   7.8G     0  7.8G   0% /dev
tmpfs                      7.8G     0  7.8G   0% /dev/shm
tmpfs                      7.8G   17M  7.8G   1% /run
tmpfs                      7.8G     0  7.8G   0% /sys/fs/cgroup
/dev/mapper/vg00-usr       5.8G  4.8G  733M  87% /usr
/dev/sda1                  477M  154M  294M  35% /boot
/dev/mapper/vg00-tmp       6.9G  3.2G  3.4G  49% /tmp
/dev/mapper/vg00-var       4.9G  4.5G  185M  97% /var
dvcinasdm2:/system_kits    1.1T  1.1T   67G  95% /system_kits
tmpfs                      1.6G     0  1.6G   0% /run/user/0
/dev/loop2                 3.8G  3.8G     0 100% /mnt
/dev/mapper/vg01-opt       4.8G   20M  4.6G   1% /opt
/dev/mapper/vg01-learn     4.8G   33M  4.5G   1% /learn
/dev/mapper/vg01-controlm  4.8G   21M  4.6G   1% /opt/controlm"
uptime,"17:56:06 up 5 days, 11:55,  3 users,  load average: 0.03, 0.09, 0.08"
hostname,indlin2892
what is hostname,ChatBot.
uptime,"17:56:52 up 5 days, 11:56,  3 users,  load average: 0.01, 0.08, 0.07"
disk usage ,"Filesystem                 Size  Used Avail Use% Mounted on
/dev/mapper/vg00-root      5.9G 1014M  4.7G  18% /
devtmpfs                   7.8G     0  7.8G   0% /dev
tmpfs                      7.8G     0  7.8G   0% /dev/shm
tmpfs                      7.8G   17M  7.8G   1% /run
tmpfs                      7.8G     0  7.8G   0% /sys/fs/cgroup
/dev/mapper/vg00-usr       5.8G  4.8G  733M  87% /usr
/dev/sda1                  477M  154M  294M  35% /boot
/dev/mapper/vg00-tmp       6.9G  3.2G  3.4G  49% /tmp
/dev/mapper/vg00-var       4.9G  4.5G  185M  97% /var
dvcinasdm2:/system_kits    1.1T  1.1T   67G  95% /system_kits
tmpfs                      1.6G     0  1.6G   0% /run/user/0
/dev/loop2                 3.8G  3.8G     0 100% /mnt
/dev/mapper/vg01-opt       4.8G   20M  4.6G   1% /opt
/dev/mapper/vg01-learn     4.8G   33M  4.5G   1% /learn
/dev/mapper/vg01-controlm  4.8G   21M  4.6G   1% /opt/controlm"
memeory,"total        used        free      shared  buff/cache   available
Mem:             15           0           7           0           7          15
Swap:             1           0           1"
uptime,"Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
0.0.0.0         10.20.232.1     0.0.0.0         UG        0 0          0 eth0
10.20.232.0     0.0.0.0         255.255.252.0   U         0 0          0 eth0
169.254.0.0     0.0.0.0         255.255.0.0     U         0 0          0 eth0
172.17.0.0      0.0.0.0         255.255.0.0     U         0 0          0 docker0
172.18.0.0      0.0.0.0         255.255.0.0     U         0 0          0 br-3895b2bffd8f
172.19.0.0      0.0.0.0         255.255.0.0     U         0 0          0 br-7ae0ee426432"
Hello,Hello World!
cpu,0.18
disk usgae,"Filesystem                 Size  Used Avail Use% Mounted on
/dev/mapper/vg00-root      5.9G 1014M  4.7G  18% /
devtmpfs                   7.8G     0  7.8G   0% /dev
tmpfs                      7.8G     0  7.8G   0% /dev/shm
tmpfs                      7.8G   17M  7.8G   1% /run
tmpfs                      7.8G     0  7.8G   0% /sys/fs/cgroup
/dev/mapper/vg00-usr       5.8G  4.8G  733M  87% /usr
/dev/sda1                  477M  154M  294M  35% /boot
/dev/mapper/vg00-tmp       6.9G  3.2G  3.4G  49% /tmp
/dev/mapper/vg00-var       4.9G  4.5G  185M  97% /var
dvcinasdm2:/system_kits    1.1T  1.1T   67G  95% /system_kits
tmpfs                      1.6G     0  1.6G   0% /run/user/0
/dev/loop2                 3.8G  3.8G     0 100% /mnt
/dev/mapper/vg01-opt       4.8G   20M  4.6G   1% /opt
/dev/mapper/vg01-learn     4.8G   33M  4.5G   1% /learn
/dev/mapper/vg01-controlm  4.8G   21M  4.6G   1% /opt/controlm"
Hello,Hello World!
hostname ,indlin2892
cpu,0.14
memory ,"total        used        free      shared  buff/cache   available
Mem:             15           0           7           0           7          15
Swap:             1           0           1"
disk usage ,"Filesystem                 Size  Used Avail Use% Mounted on
/dev/mapper/vg00-root      5.9G 1014M  4.7G  18% /
devtmpfs                   7.8G     0  7.8G   0% /dev
tmpfs                      7.8G     0  7.8G   0% /dev/shm
tmpfs                      7.8G   17M  7.8G   1% /run
tmpfs                      7.8G     0  7.8G   0% /sys/fs/cgroup
/dev/mapper/vg00-usr       5.8G  4.8G  733M  87% /usr
/dev/sda1                  477M  154M  294M  35% /boot
/dev/mapper/vg00-tmp       6.9G  3.2G  3.4G  49% /tmp
/dev/mapper/vg00-var       4.9G  4.5G  185M  97% /var
dvcinasdm2:/system_kits    1.1T  1.1T   67G  95% /system_kits
tmpfs                      1.6G     0  1.6G   0% /run/user/0
/dev/loop2                 3.8G  3.8G     0 100% /mnt
/dev/mapper/vg01-opt       4.8G   20M  4.6G   1% /opt
/dev/mapper/vg01-learn     4.8G   33M  4.5G   1% /learn
/dev/mapper/vg01-controlm  4.8G   21M  4.6G   1% /opt/controlm"
Df,I don't really know what you are asking.
mememory,"total        used        free      shared  buff/cache   available
Mem:             15           0           7           0           7          15
Swap:             1           0           1"
unix,Is there a different way you can ask that?
Hello,Hello World!
hostname,indlin2892
uptime,"Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
0.0.0.0         10.20.232.1     0.0.0.0         UG        0 0          0 eth0
10.20.232.0     0.0.0.0         255.255.252.0   U         0 0          0 eth0
169.254.0.0     0.0.0.0         255.255.0.0     U         0 0          0 eth0
172.17.0.0      0.0.0.0         255.255.0.0     U         0 0          0 docker0
172.18.0.0      0.0.0.0         255.255.0.0     U         0 0          0 br-3895b2bffd8f
172.19.0.0      0.0.0.0         255.255.0.0     U         0 0          0 br-7ae0ee426432"
nice,I'll need to take some time to think on that.
memory,"total        used        free      shared  buff/cache   available
Mem:             15           0           7           0           7          15
Swap:             1           0           1"
uptime,"18:41:29 up 5 days, 12:40,  3 users,  load average: 0.11, 0.04, 0.05"
hostname,indlin2892
OS version,getos
which is os is running on server,getos
OS version,Red Hat Enterprise Linux Server release 7.2 (Maipo)
disk utilization,I don't really know what you are asking.
disk space,"Filesystem                 Size  Used Avail Use% Mounted on
/dev/mapper/vg00-root      5.9G 1014M  4.7G  18% /
devtmpfs                   7.8G     0  7.8G   0% /dev
tmpfs                      7.8G     0  7.8G   0% /dev/shm
tmpfs                      7.8G   17M  7.8G   1% /run
tmpfs                      7.8G     0  7.8G   0% /sys/fs/cgroup
/dev/mapper/vg00-usr       5.8G  4.8G  733M  87% /usr
/dev/sda1                  477M  154M  294M  35% /boot
/dev/mapper/vg00-tmp       6.9G  3.2G  3.4G  49% /tmp
/dev/mapper/vg00-var       4.9G  4.5G  185M  97% /var
dvcinasdm2:/system_kits    1.1T  1.1T   67G  95% /system_kits
tmpfs                      1.6G     0  1.6G   0% /run/user/0
/dev/loop2                 3.8G  3.8G     0 100% /mnt
/dev/mapper/vg01-opt       4.8G   20M  4.6G   1% /opt
/dev/mapper/vg01-learn     4.8G   33M  4.5G   1% /learn
/dev/mapper/vg01-controlm  4.8G   21M  4.6G   1% /opt/controlm"
